"Column","Type","Extra","Comment"
_sdc_batched_at,varchar,"",""
_sdc_extracted_at,varchar,"",""
_sdc_received_at,varchar,"",""
_sdc_sequence,bigint,"",""
_sdc_table_version,bigint,"",""
expand,varchar,"",""
fields__assignee,varchar,"",""
fields__assignee__active,boolean,"",""
fields__assignee__avatarurls__16x16,varchar,"",""
fields__assignee__avatarurls__24x24,varchar,"",""
fields__assignee__avatarurls__32x32,varchar,"",""
fields__assignee__avatarurls__48x48,varchar,"",""
fields__assignee__displayname,varchar,"",""
fields__assignee__emailaddress,varchar,"",""
fields__assignee__key,varchar,"",""
fields__assignee__name,varchar,"",""
fields__assignee__self,varchar,"",""
fields__assignee__timezone,varchar,"",""
fields__attachment,varchar,"",""
fields__components,varchar,"",""
fields__created,varchar,"",""
fields__creator,double,"",""
fields__creator__active,boolean,"",""
fields__creator__avatarurls__16x16,varchar,"",""
fields__creator__avatarurls__24x24,varchar,"",""
fields__creator__avatarurls__32x32,varchar,"",""
fields__creator__avatarurls__48x48,varchar,"",""
fields__creator__displayname,varchar,"",""
fields__creator__emailaddress,varchar,"",""
fields__creator__key,varchar,"",""
fields__creator__name,varchar,"",""
fields__creator__self,varchar,"",""
fields__creator__timezone,varchar,"",""
fields__customfield_10000,varchar,"",""
fields__customfield_10000__disabled,varchar,"",""
fields__customfield_10000__id,varchar,"",""
fields__customfield_10000__self,varchar,"",""
fields__customfield_10000__value,varchar,"",""
fields__customfield_10011,varchar,"",""
fields__customfield_10011__disabled,varchar,"",""
fields__customfield_10011__id,varchar,"",""
fields__customfield_10011__self,varchar,"",""
fields__customfield_10011__value,varchar,"",""
fields__customfield_10031,varchar,"",""
fields__customfield_10032,varchar,"",""
fields__customfield_10032__disabled,varchar,"",""
fields__customfield_10032__id,varchar,"",""
fields__customfield_10032__self,varchar,"",""
fields__customfield_10032__value,varchar,"",""
fields__customfield_10040,varchar,"",""
fields__customfield_10040__disabled,varchar,"",""
fields__customfield_10040__id,varchar,"",""
fields__customfield_10040__self,varchar,"",""
fields__customfield_10040__value,varchar,"",""
fields__customfield_10050,varchar,"",""
fields__customfield_10051,varchar,"",""
fields__customfield_10052,varchar,"",""
fields__customfield_10053,varchar,"",""
fields__customfield_10055,varchar,"",""
fields__customfield_10056,varchar,"",""
fields__customfield_10057,varchar,"",""
fields__customfield_10166,varchar,"",""
fields__customfield_10166__disabled,varchar,"",""
fields__customfield_10166__id,varchar,"",""
fields__customfield_10166__self,varchar,"",""
fields__customfield_10166__value,varchar,"",""
fields__customfield_10257,varchar,"",""
fields__customfield_10257__disabled,varchar,"",""
fields__customfield_10257__id,varchar,"",""
fields__customfield_10257__self,varchar,"",""
fields__customfield_10257__value,varchar,"",""
fields__customfield_10550,varchar,"",""
fields__customfield_10551,varchar,"",""
fields__customfield_10553,varchar,"",""
fields__customfield_10554,varchar,"",""
fields__customfield_10555,varchar,"",""
fields__customfield_10556,varchar,"",""
fields__customfield_10557,varchar,"",""
fields__customfield_10558,varchar,"",""
fields__customfield_10559,varchar,"",""
fields__customfield_10750,varchar,"",""
fields__customfield_10855,varchar,"",""
fields__customfield_10856,varchar,"",""
fields__customfield_10857,varchar,"",""
fields__customfield_10858,varchar,"",""
fields__customfield_10859,varchar,"",""
fields__customfield_10859__disabled,varchar,"",""
fields__customfield_10859__id,varchar,"",""
fields__customfield_10859__self,varchar,"",""
fields__customfield_10859__value,varchar,"",""
fields__customfield_10860,varchar,"",""
fields__customfield_10951,varchar,"",""
fields__customfield_11150,varchar,"",""
fields__customfield_11151,varchar,"",""
fields__customfield_11450,varchar,"",""
fields__customfield_11450__errormessage,varchar,"",""
fields__customfield_11450__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_11450__i18nerrormessage__parameters,varchar,"",""
fields__customfield_11451,varchar,"",""
fields__customfield_11452,varchar,"",""
